ATP_prod_eq_cons_frac,ATP_conc,ATP_energy,Fract_success_sims,Enz1_L,Enz1_n,Enz1_Vmax,Enz1_Keq,Enz2_Vmax,Enz2_Keq,ATPase_Vmax,ATPase_Keq
1,0.09589552,14.61643387,1,0.000790817,3,0.001736462,103.0188536,0.007465909,13.33963703,0.0001,1000
1,0.095875029,15.20361689,1,0.000624767,2,0.003204373,353.9028173,0.007470411,22.61123719,0.0001,1000
1,0.095829389,17.7185938,1,5.08E-05,2,0.002175516,1372.599641,0.00537982,264.2885229,0.0001,1000
1,0.095813016,16.85203201,1,8.52E-05,3,0.062399262,233.1579869,0.078097414,156.5673155,0.0001,1000
1,0.095790922,17.25107434,1,5.36E-05,2,0.003516378,20.95922711,0.004369304,222.6094506,0.0001,1000
1,0.095764539,18.66609891,1,3.14E-05,1,0.001667305,74.02339796,0.010245087,448.6769474,0.0001,1000
1,0.095644218,15.85708719,1,0.000866826,1,0.006581015,5918.052173,0.023673925,23.78948008,0.0001,1000
1,0.095586977,16.58725935,1,0.000114465,3,0.01068162,1386.859819,0.071702985,87.93680219,0.0001,1000
1,0.095548888,14.82319738,0.98,0.039510167,1,0.044168582,200.3105172,0.003753388,17.00231177,0.0001,1000
1,0.095368482,14.81042051,1,0.0005178,4,0.003547833,35.7642299,0.008550373,17.91085226,0.0001,1000
1,0.095039495,15.20730376,0.98,0.005672016,1,0.006245261,1662.102495,0.00252233,22.81218589,0.0001,1000
1,0.095036324,16.46988676,1,1.10E-05,4,0.002833813,10.63192417,0.00713012,88.80917639,0.0001,1000
1,0.09468552,15.90546518,0.99,0.000316803,4,0.030645528,156.2133969,0.005281424,66.53949354,0.0001,1000
1,0.09466301,18.40882447,1,6.61E-05,1,0.002867378,3397.438639,0.062236118,239.079136,0.0001,1000
1,0.094608192,15.17876933,1,5.62E-05,1,0.019929437,10.03996793,0.018565096,32.86247306,0.0001,1000
1,0.094584769,16.26362195,1,0.000169371,3,0.08988909,555.2993496,0.076461018,97.20363829,0.0001,1000
1,0.094485734,15.19952836,0.98,0.00397029,2,0.051859075,538.075009,0.001941656,30.72606973,0.0001,1000
1,0.094459174,18.21635679,1,6.84E-05,1,0.001836207,272.0791268,0.031037348,221.72861,0.0001,1000
1,0.094449831,18.35091424,1,0.000113003,1,0.010878572,1210.567866,0.007927254,525.6846009,0.0001,1000
1,0.094343331,18.03432543,1,3.23E-05,2,0.059825719,55.12482115,0.080184036,451.3480767,0.0001,1000
1,0.093993132,15.01346793,0.06,0.000286839,4,0.020976288,6187.86025,0.002744349,255.3538496,0.0001,1000
1,0.093925,15.59624631,1,0.00042382,2,0.07370935,680.6548177,0.08250789,42.43781213,0.0001,1000
1,0.093838532,18.08838822,1,2.27E-05,4,0.001323696,197.654798,0.001042999,608.396367,0.0001,1000
1,0.093752369,15.80997272,1,2.34E-05,1,0.004091903,11.60242592,0.05845952,40.82305195,0.0001,1000
1,0.093475107,18.04760117,1,6.54E-05,2,0.027714796,298.4238241,0.010709974,552.4489604,0.0001,1000
1,0.093459899,14.30984393,1,0.00088846,3,0.00371774,26.16925879,0.0036206,14.0024958,0.0001,1000
1,0.093418086,15.44200706,1,2.82E-05,1,0.002208107,11.4672219,0.06108628,28.08342076,0.0001,1000
1,0.093417964,14.52731035,1,0.000298239,4,0.001927581,10.79510898,0.002607407,14.48552698,0.0001,1000
1,0.09338982,14.85341364,1,1.74E-05,4,0.005121676,10.65037764,0.01916331,16.87831718,0.0001,1000
1,0.093338871,16.03462658,1,0.000119785,4,0.004296456,12.54704085,0.003347973,78.72205651,0.0001,1000
1,0.093251306,13.74768884,0.02,0.000721557,2,0.054677084,8210.176939,0.009901067,471.0893412,0.0001,1000
1,0.093228597,15.72898017,0.99,0.000921353,2,0.006936876,689.0191369,0.001566298,52.26656692,0.0001,1000
1,0.093095504,16.3008746,1,0.000207212,2,0.008418602,444.6115859,0.009332901,85.70025085,0.0001,1000
1,0.093072264,16.72298992,0.1,0.00024697,2,0.079257019,2447.249607,0.001832238,995.4935141,0.0001,1000
1,0.093044956,14.92882671,1,0.001941434,2,0.072013461,14.11347341,0.007744669,25.4050932,0.0001,1000
1,0.092927534,18.355447,1,3.42E-05,3,0.016069727,91.82205739,0.003417879,777.4967337,0.0001,1000
1,0.0929185,14.43458759,1,6.13E-05,3,0.001259634,10.66621486,0.04548704,10.46804958,0.0001,1000
1,0.092850885,14.70335157,1,3.00E-05,1,0.002027546,11.06030376,0.04034596,13.59477037,0.0001,1000
1,0.092812093,15.44926661,0.98,0.014208104,1,0.030534842,283.3979356,0.003890459,30.12600131,0.0001,1000
1,0.092775074,18.00446374,1,3.02E-05,3,0.00353969,7751.577867,0.002975812,538.8688518,0.0001,1000
1,0.092766542,15.12957171,0.99,0.003656159,1,0.006686574,3654.162141,0.004175897,20.11936297,0.0001,1000
1,0.092736115,19.16632613,1,2.45E-05,3,0.05642948,37.69743433,0.002506818,1765.343432,0.0001,1000
1,0.092604892,19.01974087,1,0.00012524,1,0.004500813,248.1516184,0.001598935,1116.082361,0.0001,1000
1,0.092582311,15.47073937,1,0.000207308,3,0.002002512,14.64408585,0.046698909,28.85782725,0.0001,1000
1,0.09235669,16.92007429,1,0.000638582,2,0.09985352,15.55113041,0.002070593,184.9191507,0.0001,1000
1,0.092351669,15.20532905,1,0.028977141,1,0.07114781,14.84542287,0.002217481,32.01032481,0.0001,1000
1,0.092351408,18.97119199,1,1.41E-05,2,0.011223074,283.9794295,0.050043602,822.943752,0.0001,1000
1,0.092282438,17.05178774,1,7.25E-05,3,0.007239447,9565.507178,0.017985361,142.6415763,0.0001,1000
1,0.092248565,15.31567992,0.98,0.007522916,1,0.060062489,625.5942859,0.016543255,25.24401021,0.0001,1000
1,0.092239109,16.24835502,1,0.000545406,1,0.005119854,512.2790616,0.010044351,38.20756719,0.0001,1000
1,0.092065029,17.46650847,1,8.74E-05,2,0.01741282,2520.400231,0.011611873,298.6280108,0.0001,1000
1,0.09187508,14.85273025,0.99,0.003529405,1,0.029223474,3129.877405,0.023394065,14.61009265,0.0001,1000
1,0.091829348,17.06159328,1,0.000246296,3,0.06701474,178.0611657,0.002090819,207.5306218,0.0001,1000
1,0.091793902,15.94381525,1,0.000300848,2,0.014265709,4469.813159,0.014441396,63.10549305,0.0001,1000
1,0.091734123,18.31437791,1,1.77E-05,4,0.001308692,1066.067168,0.001163885,740.2979787,0.0001,1000
1,0.091721184,19.84590603,1,1.48E-05,1,0.006130916,779.6970127,0.063195827,1003.773984,0.0001,1000
1,0.09171287,18.54649544,1,4.86E-05,1,0.001009192,243.8487351,0.003740872,327.8525764,0.0001,1000
1,0.091570533,20.14830274,1,1.03E-05,1,0.00131716,419.1224354,0.012322646,1412.084267,0.0001,1000
1,0.091525572,17.39124365,1,0.000159934,2,0.018924075,270.1709909,0.004721152,279.0740649,0.0001,1000
1,0.091483599,14.50940724,1,0.001271819,2,0.009535096,995.6737321,0.022875617,10.64341123,0.0001,1000
1,0.091386717,18.28688474,1,2.10E-05,3,0.001418945,9947.251472,0.004291734,465.4230721,0.0001,1000
1,0.091277506,18.08938534,1,2.44E-05,4,0.005410996,31.62281114,0.002534167,596.5060536,0.0001,1000
1,0.091242664,17.57568094,1,4.16E-05,3,0.001290798,304.3827901,0.072182949,217.3691961,0.0001,1000
1,0.090888391,16.71602329,1,0.000240361,1,0.005708368,94.85011682,0.050891543,57.58750225,0.0001,1000
1,0.090682517,16.07005116,1,0.000219846,4,0.084545177,76.45069533,0.027580211,76.59575086,0.0001,1000
1,0.090665635,16.31167809,1,0.000330459,4,0.083855002,38.8976322,0.001922616,97.87696397,0.0001,1000
1,0.090538471,14.93297315,1,0.003061872,1,0.001605938,3156.798741,0.001310639,15.93229779,0.0001,1000
1,0.090313234,15.3521153,1,0.000543289,2,0.011218931,666.5611382,0.034087095,23.09557749,0.0001,1000
1,0.090285237,16.65979146,1,5.63E-05,3,0.00489788,10.20754412,0.003375117,141.1876948,0.0001,1000
1,0.090164747,16.8226496,1,0.000216697,1,0.010008488,68.09159519,0.012008902,97.11201089,0.0001,1000
1,0.090148427,15.23216262,1,5.60E-05,3,0.001575127,11.21933308,0.004436565,24.0473971,0.0001,1000
1,0.090073486,16.73174149,1,4.03E-05,2,0.002301068,13.10422235,0.00985646,101.7554406,0.0001,1000
1,0.090016191,16.42980919,1,0.000133218,3,0.001482591,719.901126,0.010812906,70.44121284,0.0001,1000
1,0.089949948,15.68476419,1,9.53E-05,1,0.00187232,14.17573897,0.004249797,36.39933389,0.0001,1000
1,0.089884934,16.58795431,1,0.009623993,1,0.093453878,273.1684743,0.005408295,96.34367938,0.0001,1000
1,0.08987428,17.42184836,1,7.37E-05,4,0.021398708,116.0983582,0.002707674,292.7036871,0.0001,1000
1,0.089846479,15.20241681,1,0.000429794,3,0.001724008,77.00725753,0.049255598,20.74429952,0.0001,1000
1,0.089810285,17.40113562,1,0.000107268,3,0.021025605,1110.755807,0.002971036,281.8722776,0.0001,1000
1,0.08980594,18.34309931,1,1.63E-05,4,0.001340331,228.6408878,0.055558835,485.5876324,0.0001,1000
1,0.089787559,14.84108744,1,0.001214391,3,0.092105851,34.60510416,0.014386155,22.14850465,0.0001,1000
1,0.089760977,15.01663059,1,0.000190488,4,0.00162087,11.71226273,0.068583531,17.80058511,0.0001,1000
1,0.089749449,16.67272345,1,2.15E-05,2,0.001919833,11.91501202,0.099316871,91.66311806,0.0001,1000
1,0.089744813,14.47875647,1,6.54E-05,2,0.071273006,10.8399739,0.089105403,13.52114183,0.0001,1000
1,0.089665638,16.20367087,1,0.000141173,4,0.001127641,480.9821205,0.003676262,62.9175797,0.0001,1000
1,0.089592566,16.00466893,1,0.000206647,3,0.018310147,4384.367256,0.03963909,50.58250805,0.0001,1000
1,0.08959229,14.86436932,1,0.000610647,4,0.041812621,34.86296964,0.021455432,22.91419022,0.0001,1000
1,0.089546122,19.11675704,1,1.25E-05,2,0.001411245,1422.43529,0.043172642,821.4252827,0.0001,1000
1,0.089523435,15.10219081,0.98,0.000641864,4,0.016154433,940.1845219,0.0044949,27.21272342,0.0001,1000
1,0.08943869,14.82473849,1,0.000530675,4,0.001403179,56.13773616,0.035482238,14.94366198,0.0001,1000
1,0.089324304,16.6581885,1,0.000599882,2,0.017214446,58.37469833,0.001202325,132.0736892,0.0001,1000
1,0.08928868,18.76629371,1,4.85E-05,2,0.029298395,35.52822993,0.003920516,1108.227118,0.0001,1000
1,0.089207262,17.28411629,1,1.90E-05,2,0.030344744,11.33969611,0.028308082,249.5250342,0.0001,1000
1,0.08917851,15.91357903,1,0.000227544,2,0.015134301,16.48213943,0.011582071,64.23459512,0.0001,1000
1,0.089159345,18.37142616,1,2.60E-05,2,0.007305512,664.2313112,0.008058935,636.2944563,0.0001,1000
1,0.089156218,14.30255808,0.96,0.001424582,4,0.004231543,544.887814,0.001239321,11.86924327,0.0001,1000
1,0.089094608,17.54468502,1,3.06E-05,4,0.001955246,24.35620515,0.038059609,224.3208511,0.0001,1000
1,0.089073274,16.04756896,1,0.000167511,4,0.008713904,2629.600082,0.052831971,49.52284053,0.0001,1000
1,0.08898241,16.98407463,1,0.000100547,2,0.016466464,144.0817468,0.03965584,121.3737204,0.0001,1000
1,0.088974939,15.32805478,1,0.000563424,2,0.001971689,8971.546353,0.00945339,20.87287469,0.0001,1000
1,0.088832688,16.0415483,1,2.91E-05,2,0.001676906,11.76183193,0.012344618,49.71165271,0.0001,1000
1,0.088784225,16.70609067,1,1.16E-05,4,0.006741392,11.6171427,0.036517489,97.66870558,0.0001,1000
1,0.08874684,16.34964633,1,0.000174289,4,0.021917233,77.74738275,0.005982001,98.83194263,0.0001,1000
1,0.088716817,16.81595565,1,0.002411469,1,0.030915259,166.3914716,0.005289054,120.4841047,0.0001,1000
1,0.088609181,17.24677683,1,9.93E-05,4,0.013886478,152.8678932,0.001116859,240.8911264,0.0001,1000
1,0.088599293,17.87515831,1,0.000107561,1,0.018851491,583.0162509,0.024942248,206.5306023,0.0001,1000
1,0.08859767,19.8434311,1,4.42E-05,1,0.005260442,25.24099742,0.001345026,2988.579152,0.0001,1000
